Kauno Aleksoto lopšelis-darželis ;191633714;Antanavos g. 17, 46274, Kaunas;darzelis@aleksotas.kaunas.lm.lt ;(37) 39 15 93;http://www.aleksotas.kaunas.lm.lt/;2;54.8853;23.8971
Kauno lopšelis-darželis Atžalėlė´;191638070;K. Donelaičio g. 9a, 44239 Kaunas;darzelis@atzalele.kaunas.lm.lt;(37) 20 95 87;http://www.atzalele.kaunas.lm.lt/;3;54.8977;23.9234
Kauno lopšelis-darželis Aušrinė´;191640865;Baltų pr. 49, 48233 Kaunas;ausrine.vpc@dokeda.lt;(37) 37 75 28;http://www.ausrine.lt/;4;54.9275;23.8825
Kauno lopšelis-darželis Ąžuoliukas´;291642340;Margio g. 17, 44226 Kaunas;azuoliukas.kaunas@gmail.com;(37) 42 33 20;http://kaunoazuoliukas.lt/;5;54.8922;23.9356
Kauno lopšelis-darželis Bitutė´;191638451;Taikos pr. 10, 50191 Kaunas;ldbitute@zebra.lt;(37) 73 24 59;http://www.bitute.kaunas.lm.lt/;6;54.9106;23.9398
Kauno lopšelis-darželis Boružėlė´;195473374;Bitininkų g. 21, 46382 Kaunas;ldboruzele@gmail.com;(37) 42 01 65;http://www.ld-boruzele.lt/index.php?qw=txt;7;54.8649;23.8982
Kauno lopšelis-darželis Čiauškutis´;191635722;Prancūzų g. 68a, 44471 Kaunas;ciauskutis.darzelis@gmail.com;(37) 34 80 39;http://lopselisdarzelis.lt/;8;54.8912;23.951
Kauno lopšelis-darželis Daigelis´;191637698;Žagarės g. 5, 47178 Kaunas; lddaigelis@gmail.com;(37) 26 65 63;http://daigelis.mir.lt/;9;54.9094;23.8627
Kauno lopšelis-darželis Dobilėlis´;191633333;Panerių g. 44, 48348 Kaunas;dobilelis@mikrovisata.net;(37) 36 35 30;http://dobilelis.mir.lt/?id=8;10;54.909;23.887
Kauno lopšelis-darželis Drevinukas´;191634969;R.Kalantos g. 116, 52347 Kaunas;drevinukas1@gmail.com;(37) 45 40 63;http://www.drevinukas.kaunas.lm.lt/;11;54.8929;24.0092
Kauno lopšelis-darželis Eglutė´;291637350;A. ir J. Gravrogkų g. 11, 51451 Kaunas;darzeliseglute@zebra.lt;(37) 35 14 96;http://www.eglute.kaunas.lm.lt/;12;54.8983;23.9719
Kauno lopšelis-darželis Ežiukas´;191828810;A. Mapu g. 12, 44284 Kaunas;eziukas4@gmail.com;(37) 42 34 43;http://www.darzeliseziukas.lt/;13;54.8976;23.8934
Kauno lopšelis-darželis Gandriukas´;191634392;Ukmergės g. 19, 49318 Kaunas;ldg@gandriukas.kaunas.lm.lt;(37) 38 65 99;http://www.gandriukas.kaunas.lm.lt/index.php;14;54.9272;23.9334
Kauno lopšelis-darželis Giliukas´;191639172;Apuolės g. 29, 48305 Kaunas;giliuk@giliukas.kaunas.lm.lt;(37) 75 50 22;http://www.giliukas.kaunas.lm.lt/;15;54.9175;23.8854
Kauno lopšelis-darželis Gintarėlis´;191641052;Baltijos g. 28, 48252 Kaunas;l.d.gintarelis@gmail.com;(37) 37 75 70;http://www.gintarelis.kaunas.lm.lt/titulinis;16;54.9237;23.8865
Kauno lopšelis-darželis Girinukas´;191633529;Partizanų g. 52, 49446 Kaunas;girinukas@dokeda.lt;(37) 31 28 99;http://www.girinukas.kaunas.lm.lt/;17;54.9204;23.9636
Kauno lopšelis-darželis Girstutis´;191642535;Kovo 11-osios g. 25b, 51351 Kaunas;girstutis.darzelis@gmail.com;(37) 45 46 49;http://www.girstutis.kaunas.lm.lt/;18;54.9075;23.971
Kauno lopšelis-darželis Klausutis´;191638113;Kovo 11-osios g. 14, 51380 Kaunas;ld@klausutis.kaunas.lm.lt;(37) 45 43 09;http://www.klausutis.kaunas.lm.lt/;19;54.9038;23.9749
Kauno lopšelis-darželis Klevelis´;191642720;Griunvaldo g. 26a, 44330 Kaunas;klevelis@gmail.com;(37) 42 24 48;http://www.klevelis.lt/;20;54.8929;23.919
Kauno lopšelis-darželis Klumpelė´;191640299;Pienių g. 14, 47444 Kaunas;sargdarz@takas.lt;(37) 37 75 81;http://www.klumpele.lt/;21;54.9431;23.883
Kauno lopšelis-darželis Kodėlčiukas´;191641967;S. Raštikio g. 21, 50135 Kaunas;info@kodelciukas.com;(37) 31 40 73;http://www.kodelciukas.kaunas.lm.lt/;22;54.9185;23.9399
Kauno lopšelis-darželis Kregždutė´;191640146;P. Plechavičiaus g. 21, 49260 Kaunas;kregzdute95@zebra.lt;(37) 31 24 50;http://www.ldkregzdute.lt/;23;54.9293;23.9487
Kauno lopšelis-darželis Kūlverstukas´;191633290;Birželio 23-iosios g. 21, 50222 Kaunas;ld.kulverstukas@yahoo.com;(37) 73 17 32;http://www.kulverstukas.kaunas.lm.lt/;24;54.9133;23.9515
Kauno lopšelis-darželis Lakštutė´;191641629;Parko g. 10, 52253 Kaunas;dlakstute@yahoo.com;(37) 37 35 88;http://www.lakstute.kaunas.lm.lt/index.php?qw=pagr;25;54.9112;24.0625
Kauno lopšelis-darželis Liepaitė´;191639553;K. Genio g. 7, 50167 Kaunas;liepaitedarzelis@gmail.com;(37) 73 23 76;http://www.liepaite.lt/;26;54.916;23.9192
